Momentum,Regularization,Alpha,B,F,epoch,RMSE
0.9,0.0001,0.01,5,10,25,1.1346097605122647
0.9,0.0001,0.01,10,6,17,1.149184648777779
0.9,0.0001,0.01,10,8,19,1.1398509772690191
0.9,0.0001,0.01,10,10,21,1.1424257195006431
0.9,0.0001,0.01,20,6,18,1.1462783859197549
0.9,0.0001,0.01,20,8,20,1.1435183865255856
0.9,0.0001,0.01,20,10,22,1.1415127986640266
0.9,0.0001,0.03,5,6,19,1.1382490209844396
0.9,0.0001,0.03,5,8,2,1.1389000029113001
0.9,0.0001,0.03,5,10,7,1.1417703550182854
0.9,0.0001,0.03,10,6,4,1.1418966595812232
0.9,0.0001,0.03,10,8,22,1.144071983361262
0.9,0.0001,0.03,10,10,8,1.143808482734143
0.9,0.0001,0.03,20,6,13,1.1450686207868266
0.9,0.0001,0.03,20,8,23,1.1368647148439128
0.9,0.0001,0.03,20,10,28,1.14315719204097
0.9,0.0001,0.1,5,6,13,1.1388793967693984
0.9,0.0001,0.1,5,8,13,1.144119202854156
0.9,0.0001,0.1,5,10,13,1.1394861871082986
0.9,0.0001,0.1,10,6,14,1.1350910615356968
0.9,0.0001,0.1,10,8,9,1.1394546714709333
0.9,0.0001,0.1,10,10,18,1.1389498601959653
0.9,0.0001,0.1,20,6,2,1.1485338918499937
0.9,0.0001,0.1,20,8,8,1.1435110071207479
0.9,0.0001,0.1,20,10,9,1.1342047679907334
0.9,0.0003,0.01,5,6,24,1.1485140967940519
0.9,0.0003,0.01,5,8,24,1.1399757726525397
0.9,0.0003,0.01,5,10,9,1.1341750139173605
0.9,0.0003,0.01,10,6,27,1.1435235926879637
0.9,0.0003,0.01,10,8,17,1.139824528381483
0.9,0.0003,0.01,10,10,21,1.1377142193804008
0.9,0.0003,0.01,20,6,27,1.1408809417181025
0.9,0.0003,0.01,20,8,28,1.1363554166194076
0.9,0.0003,0.01,20,10,26,1.1397333349014092
0.9,0.0003,0.03,5,6,5,1.1450004413168471
0.9,0.0003,0.03,5,8,23,1.144249240957095
0.9,0.0003,0.03,5,10,23,1.142540732490732
0.9,0.0003,0.03,10,6,23,1.1411077349266827
0.9,0.0003,0.03,10,8,22,1.1393871228068293
0.9,0.0003,0.03,10,10,23,1.1427865102968515
0.9,0.0003,0.03,20,6,9,1.1437953715556368
0.9,0.0003,0.03,20,8,6,1.1415762998410794
0.9,0.0003,0.03,20,10,26,1.139139631990556
0.9,0.0003,0.1,5,6,17,1.1420651075392316
0.9,0.0003,0.1,5,8,7,1.1383742911671295
0.9,0.0003,0.1,5,10,1,1.1423173322328466
0.9,0.0003,0.1,10,6,9,1.136969786433111
0.9,0.0003,0.1,10,8,14,1.1299503731166081
0.9,0.0003,0.1,10,10,10,1.130551585388478
0.9,0.0003,0.1,20,6,22,1.1366806145708044
0.9,0.0003,0.1,20,8,2,1.1503487711550355
0.9,0.0003,0.1,20,10,24,1.1599399881194936
0.9,0.001,0.01,5,6,14,1.1532293445774984
0.9,0.001,0.01,5,8,23,1.1412667840652613
0.9,0.001,0.01,5,10,25,1.1474865634128728
0.9,0.001,0.01,10,6,29,1.1454250906454349
0.9,0.001,0.01,10,8,23,1.1387183479186764
0.9,0.001,0.01,10,10,29,1.1408093405621242
0.9,0.001,0.01,20,6,24,1.1439837255302052
0.9,0.001,0.01,20,8,28,1.1431106005017946
0.9,0.001,0.01,20,10,13,1.1445254886369416
0.9,0.001,0.03,5,6,4,1.1452401489103177
0.9,0.001,0.03,5,8,28,1.1421580692552864
0.9,0.001,0.03,5,10,20,1.140141133072764
0.9,0.001,0.03,10,6,8,1.1405150969396229
0.9,0.001,0.03,10,8,5,1.1368366549920113
0.9,0.001,0.03,10,10,19,1.1374063882780232
0.9,0.001,0.03,20,6,27,1.1392086081399011
0.9,0.001,0.03,20,8,6,1.1401717031690577
0.9,0.001,0.03,20,10,27,1.1366611807033911
0.9,0.001,0.1,5,6,17,1.1389323517317573
0.9,0.001,0.1,5,8,2,1.149316168286791
0.9,0.001,0.1,5,10,12,1.1518806890637534
0.9,0.001,0.1,10,6,11,1.139655535336384
0.9,0.001,0.1,10,8,16,1.1286055512511297
0.9,0.001,0.1,10,10,13,1.1331558595012006
0.9,0.001,0.1,20,6,10,1.1350763888511342
0.9,0.001,0.1,20,8,12,1.142490212006249
0.9,0.001,0.1,20,10,15,1.1480464889815722
0.9,0.01,0.01,5,6,29,1.1419274827071657
0.9,0.01,0.01,5,8,10,1.1389200699925093
0.9,0.01,0.01,5,10,10,1.1374065518784815
0.9,0.01,0.01,10,6,14,1.1445155180445934
0.9,0.01,0.01,10,8,18,1.1368180029041206
0.9,0.01,0.01,10,10,28,1.1449592332112128
0.9,0.01,0.01,20,6,24,1.1367069122196163
0.9,0.01,0.01,20,8,11,1.1354314448032097
0.9,0.01,0.01,20,10,27,1.1412970672071507
0.9,0.01,0.03,5,6,9,1.1434881090928655
0.9,0.01,0.03,5,8,11,1.1421186804342334
0.9,0.01,0.03,5,10,27,1.1406381844730968
0.9,0.01,0.03,10,6,14,1.1383701110383022
0.9,0.01,0.03,10,8,7,1.146283918696271
0.9,0.01,0.03,10,10,27,1.1412081473207205
0.9,0.01,0.03,20,6,20,1.1412850137813506
0.9,0.01,0.03,20,8,9,1.1450458352196324
0.9,0.01,0.03,20,10,4,1.1401188455426725
0.9,0.01,0.1,5,6,9,1.1356278693170452
0.9,0.01,0.1,5,8,2,1.1445205028878049
0.9,0.01,0.1,5,10,8,1.1363291714680741
0.9,0.01,0.1,10,6,12,1.1363041978719024
0.9,0.01,0.1,10,8,10,1.140055482490878
0.9,0.01,0.1,10,10,4,1.1467746349493873
0.9,0.01,0.1,20,6,13,1.1381616232914942
0.9,0.01,0.1,20,8,12,1.1385605273488986
0.9,0.01,0.1,20,10,14,1.1547364122570258
